source_id,title,authors,year,source_type,venue,doi,arxiv_id,official_url,repo_url,version_or_commit,accessed_on,scope,primary_claims,limitations,evidence_status,notes
DH-01,"Deep-learning density functional theory Hamiltonian for efficient ab initio electronic-structure calculation","He Li; Zun Wang; Nianlong Zou; Meng Ye; Runzhang Xu; Xiaoxun Gong; Wenhui Duan; Yong Xu",2022,peer_reviewed_article,"Nature Computational Science 2 367-377",10.1038/s43588-022-00265-6,2104.03786,https://doi.org/10.1038/s43588-022-00265-6,https://github.com/mzjb/DeepH-pack,"repository main not pinned",2026-08-03,"original DeepH","local AO Hamiltonian learning with locality local coordinates and MPNN","basis and DFT-setting dependent; repository is legacy implementation",PRIMARY_EXPLICIT,"author correction published 2024"
DH-02,"General framework for E(3)-equivariant neural network representation of density functional theory Hamiltonian","Xiaoxun Gong; He Li; Nianlong Zou; Runzhang Xu; Wenhui Duan; Yong Xu",2023,peer_reviewed_article,"Nature Communications 14 2848",10.1038/s41467-023-38468-8,2210.13955,https://doi.org/10.1038/s41467-023-38468-8,https://github.com/Xiaoxun-Gong/DeepH-E3,"paper snapshot only; repository and software version not selected",2026-08-09,"DeepH-E3","explicit E(3)-equivariant Hamiltonian representation including SOC","paper-level method evidence does not authorize a software version dataset material system or reproduction object; tensor-product cost and convention matching require independent verification",PRIMARY_EXPLICIT,"local arXiv PDF SHA-256 379B288B66365D5202A481923746D5F01D8EB03433D2C67EA3E5E7261074596E; no repository content downloaded"
DH-03,"Deep-learning electronic-structure calculation of magnetic superstructures","He Li; Zechen Tang; Xiaoxun Gong; Nianlong Zou; Wenhui Duan; Yong Xu",2023,peer_reviewed_article,"Nature Computational Science 3 321-327",10.1038/s43588-023-00424-3,,https://doi.org/10.1038/s43588-023-00424-3,https://github.com/mzjb/xDeepH,"repository main not pinned",2026-08-03,"xDeepH","atomic and magnetic structures to spin-orbital Hamiltonian with E(3) and time-reversal constraints","advanced magnetic branch; requires magnetic labels",PRIMARY_EXPLICIT,"dataset DOI 10.5281/zenodo.7561013"
DH-04,"Deep-Learning Density Functional Perturbation Theory","He Li; Zechen Tang; Jingheng Fu; Wen-Han Dong; Nianlong Zou; Xiaoxun Gong; Wenhui Duan; Yong Xu",2024,peer_reviewed_article,"Physical Review Letters 132 096401",10.1103/PhysRevLett.132.096401,2401.17892,https://doi.org/10.1103/PhysRevLett.132.096401,,,2026-08-03,"DeepH-DFPT","automatic differentiation of neural electronic-structure models for response properties and electron-phonon coupling","independent official code repository not located",PRIMARY_EXPLICIT,"code availability remains UNVERIFIED"
DH-05,"DeepH-2: Enhancing deep-learning electronic structure via an equivariant local-coordinate transformer","Yuxiang Wang; He Li; Zechen Tang; Honggeng Tao; Yanzhen Wang; Zilong Yuan; Zezhou Chen; Wenhui Duan; Yong Xu",2024,preprint,"arXiv",,2401.17015,https://arxiv.org/abs/2401.17015,,,2026-08-03,"DeepH-2","equivariant local-coordinate transformer with edge-aligned local axis","preprint evidence; independent public repository not located",PRIMARY_EXPLICIT,"modern DeepH-pack cites this architecture"
DH-06,"A deep equivariant neural network approach for efficient hybrid density functional calculations","Zechen Tang; He Li; Peize Lin; Xiaoxun Gong; Gan Jin; Lixin He; Hong Jiang; Xinguo Ren; Wenhui Duan; Yong Xu",2024,peer_reviewed_article,"Nature Communications 15 8815",10.1038/s41467-024-53028-4,2302.08221,https://doi.org/10.1038/s41467-024-53028-4,https://github.com/aaaashanghai/DeepH-hybrid,"repository main not pinned",2026-08-03,"DeepH-hybrid","learns generalized Kohn-Sham hybrid-functional Hamiltonians","longer-range nonlocal exchange; repository contains additional code only",PRIMARY_EXPLICIT,"Zenodo dataset page reports restricted files"
DH-07,"Generalizing deep learning electronic structure calculation to the plane-wave basis","Xiaoxun Gong; Steven G. Louie; Wenhui Duan; Yong Xu",2024,peer_reviewed_article,"Nature Computational Science 4 752-760",10.1038/s43588-024-00701-9,,https://doi.org/10.1038/s43588-024-00701-9,https://github.com/Xiaoxun-Gong/HPRO,"repository main not pinned",2026-08-03,"HPRO and plane-wave bridge","projection and real-space reconstruction of AO Hamiltonians from plane-wave DFT","output remains dependent on selected AO representation",PRIMARY_EXPLICIT,"dataset DOI 10.5281/zenodo.13377497"
DH-08,"Universal materials model of deep-learning density functional theory Hamiltonian","Yuxiang Wang; Yang Li; Zechen Tang; He Li; Zilong Yuan; Honggeng Tao; Nianlong Zou; Ting Bao; Xinghao Liang; Zezhou Chen; Shanghua Xu; Ce Bian; Zhiming Xu; Chong Wang; Chen Si; Wenhui Duan; Yong Xu",2024,peer_reviewed_article,"Science Bulletin 69 2514-2521",10.1016/j.scib.2024.06.011,2406.10536,https://doi.org/10.1016/j.scib.2024.06.011,,,2026-08-03,"DeepH-UMM","multi-element multi-structure universal Hamiltonian model and fine-tuning","universality bounded by training elements basis and dataset coverage; weights not located",PRIMARY_EXPLICIT,"implementation availability UNVERIFIED"
DH-09,"Neural-network Density Functional Theory Based on Variational Energy Minimization","Yang Li; Zechen Tang; Zezhou Chen; Minghui Sun; Boheng Zhao; He Li; Honggeng Tao; Zilong Yuan; Wenhui Duan; Yong Xu",2024,peer_reviewed_article,"Physical Review Letters 133 076401",10.1103/PhysRevLett.133.076401,2403.11287,https://doi.org/10.1103/PhysRevLett.133.076401,,,2026-08-03,"DeepH-Zero / neural-network DFT","physics-informed unsupervised learning through differentiable variational DFT and AI2DFT","paper examples do not establish universal zero-data performance; code not located",PRIMARY_EXPLICIT,"DeepH-Zero label confirmed by official package materials"
DH-10,"Deep-Learning Density Functional Theory Hamiltonian in Real Space","Zilong Yuan; Zechen Tang; Honggeng Tao; Xiaoxun Gong; Zezhou Chen; Yuxiang Wang; He Li; Yang Li; Zhiming Xu; Minghui Sun; Boheng Zhao; Chen Si; Chong Wang; Wenhui Duan; Yong Xu",2026,peer_reviewed_article,"Physical Review Letters 137 046401",10.1103/mbhs-vlby,2407.14379,https://doi.org/10.1103/mbhs-vlby,,,2026-08-03,"DeepH-R","learns the real-space Kohn-Sham potential as a rotation-invariant basis-independent target","newly published; code and reproduction path not located",PRIMARY_EXPLICIT,"published 2026-07-20"
